source,bucket,provider_type,name,address,area,lat,lng,phone,website,rating,reviews,hours_json,pet_policy,unclaimed_on_google,external_source,external_id
serpapi,provider,vet,Mediveth,"Bonpland 1968, C1414CMZ Cdad. Autónoma de Buenos Aires, Argentina","Palermo, CABA",-34.5811531,-58.4350318,+54 11 2191-8679,https://www.instagram.com/veterinariorobertofara/,4.3,447,"{""jueves"": ""9 a.m.–8:30 p.m."", ""viernes"": ""9 a.m.–8:30 p.m."", ""sábado"": ""9 a.m.–7 p.m."", ""domingo"": ""11 a.m.–7 p.m."", ""lunes"": ""9 a.m.–8:30 p.m."", ""martes"": ""9 a.m.–8:30 p.m."", ""miércoles"": ""9 a.m.–8:30 p.m.""}",,,serpapi_gmaps,0x95bcb42974ae00e5:0x87f523e0a1e2feee
serpapi,provider,vet,Veterinaria Panda,"Armenia 2291, C1425 Cdad. Autónoma de Buenos Aires, Argentina","Palermo, CABA",-34.5855439,-58.4210085,+54 11 3400-6595,https://www.veterinariapanda.com.ar/,4.1,119,"{""jueves"": ""9 a.m.–8 p.m."", ""viernes"": ""9 a.m.–8 p.m."", ""sábado"": ""9 a.m.–6 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""9 a.m.–8 p.m."", ""martes"": ""9 a.m.–8 p.m."", ""miércoles"": ""9 a.m.–8 p.m.""}",,,serpapi_gmaps,0x95bcb5c8d2458c45:0x223dd3c0a0d287f0
serpapi,provider,vet,Las Razas Vet,"Paraguay 3514, C1425 BRV, Cdad. Autónoma de Buenos Aires, Argentina","Palermo, CABA",-34.5922736,-58.4146672,+54 11 4827-1370,http://lasrazasvet.com/,4.7,1183,"{""jueves"": ""9:30 a.m.–7 p.m."", ""viernes"": ""9:30 a.m.–7 p.m."", ""sábado"": ""9:30 a.m.–2 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""9:30 a.m.–7 p.m."", ""martes"": ""9:30 a.m.–7 p.m."", ""miércoles"": ""9:30 a.m.–7 p.m.""}",,,serpapi_gmaps,0x95bcca80d0544997:0x5bf5b0b05d7baafe
serpapi,provider,vet,Clínica Veterinaria del Sol,"Jerónimo Salguero 1837, C1425DEC Cdad. Autónoma de Buenos Aires, Argentina","Palermo, CABA",-34.588799699999996,-58.4151921,+54 11 4188-7828,,4.7,40,"{""jueves"": ""9 a.m.–12:30 p.m., 3–8 p.m."", ""viernes"": ""9 a.m.–12:30 p.m., 3–8 p.m."", ""sábado"": ""10 a.m.–2 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""9 a.m.–12:30 p.m., 3–8 p.m."", ""martes"": ""9 a.m.–12:30 p.m., 3–8 p.m."", ""miércoles"": ""9 a.m.–12:30 p.m., 3–8 p.m.""}",,,serpapi_gmaps,0x95bcca8045de05f7:0xad5f0f6c49eaf286
serpapi,provider,vet,Veterinaria a domicilio Jazmín PALERMO,"Juan María Gutiérrez 3765, C1425 Cdad. Autónoma de Buenos Aires, Argentina","Palermo, CABA",-34.580823599999995,-58.413163999999995,+54 11 3855-1800,https://instagram.com/jazminveterinaria?igshid=OGQ5ZDc2ODk2ZA==,5,40,"{""jueves"": ""8 a.m.–8 p.m."", ""viernes"": ""8 a.m.–8 p.m."", ""sábado"": ""8 a.m.–8 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""8 a.m.–8 p.m."", ""martes"": ""8 a.m.–8 p.m."", ""miércoles"": ""8 a.m.–8 p.m.""}",,,serpapi_gmaps,0x95bcb51c8e9e5019:0x3411fba596c282a0
serpapi,provider,vet,Veterinaria Las Marías - Palermo,"Av. Honduras 3731, C1180ACA Cdad. Autónoma de Buenos Aires, Argentina","Palermo, CABA",-34.593931,-58.4151361,+54 48265180,http://instagram.com/lasmarias.vet,4.9,311,"{""jueves"": ""2–7 p.m."", ""viernes"": ""2–7 p.m."", ""sábado"": ""10 a.m.–2 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""2–7 p.m."", ""martes"": ""2–7 p.m."", ""miércoles"": ""2–7 p.m.""}",,,serpapi_gmaps,0x95bcca8705284a05:0x2b1c13f4d532d4fc
serpapi,provider,vet,La Vete,"Jerónimo Salguero 1858, C1425DEP Cdad. Autónoma de Buenos Aires, Argentina","Palermo, CABA",-34.5884858,-58.415137099999995,+54 11 6100-0170,http://www.lavetedesalguero.com/,4.9,60,"{""jueves"": ""10 a.m.–1 p.m., 4–8 p.m."", ""viernes"": ""10 a.m.–1 p.m., 4–8 p.m."", ""sábado"": ""10 a.m.–1 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""10 a.m.–1 p.m., 4–8 p.m."", ""martes"": ""10 a.m.–1 p.m., 4–8 p.m."", ""miércoles"": ""10 a.m.–1 p.m., 4–8 p.m.""}",,,serpapi_gmaps,0x95bcca80486b2dfb:0x35d5f3425a047c18
serpapi,provider,vet,Vilaplana,"Ángel Justiniano Carranza 1985, C1414 Cdad. Autónoma de Buenos Aires, Argentina","Palermo, CABA",-34.580326,-58.4356844,+54 11 4775-9998,,4.7,147,"{""jueves"": ""10 a.m.–1 p.m., 5–8 p.m."", ""viernes"": ""10 a.m.–1 p.m., 5–8 p.m."", ""sábado"": ""Cerrado"", ""domingo"": ""Cerrado"", ""lunes"": ""10 a.m.–1 p.m., 5–8 p.m."", ""martes"": ""10 a.m.–1 p.m., 5–8 p.m."", ""miércoles"": ""10 a.m.–1 p.m., 5–8 p.m.""}",,,serpapi_gmaps,0x95bcb593b5e8be91:0xca43df47a8e97144
serpapi,provider,vet,Nueva Era,"Charcas 4115, C1425BNG Cdad. Autónoma de Buenos Aires, Argentina","Palermo, CABA",-34.5851386,-58.4210254,+54 11 4832-2001,,4.8,249,"{""jueves"": ""9 a.m.–7 p.m."", ""viernes"": ""9 a.m.–7 p.m."", ""sábado"": ""9 a.m.–3 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""9 a.m.–7 p.m."", ""martes"": ""9 a.m.–7 p.m."", ""miércoles"": ""9 a.m.–7 p.m.""}",,,serpapi_gmaps,0x95bcb5811329e2e9:0x78878d6c50035775
serpapi,provider,vet,Veterinaria Costa Rica,"Costa Rica 5689, C1414 BTE, Cdad. Autónoma de Buenos Aires, Argentina","Palermo, CABA",-34.5819492,-58.435420699999995,+54 11 4773-4179,,4.8,369,"{""jueves"": ""9 a.m.–6 p.m."", ""viernes"": ""9 a.m.–6 p.m."", ""sábado"": ""9 a.m.–2 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""9 a.m.–6 p.m."", ""martes"": ""9 a.m.–6 p.m."", ""miércoles"": ""9 a.m.–6 p.m.""}",,,serpapi_gmaps,0x95bcb59215d7794d:0xae36edfd322e7626
serpapi,provider,vet,Leocan Veterinaria,"Manuel Ugarte 2226, C1428 Cdad. Autónoma de Buenos Aires, Argentina","Belgrano, CABA",-34.5555695,-58.459825699999996,+54 11 4785-5566,http://www.leocan.com.ar/,4.2,944,"{""jueves"": ""9 a.m.–9 p.m."", ""viernes"": ""9 a.m.–9 p.m."", ""sábado"": ""9 a.m.–9 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""9 a.m.–9 p.m."", ""martes"": ""9 a.m.–9 p.m."", ""miércoles"": ""9 a.m.–9 p.m.""}",,,serpapi_gmaps,0x95bcb42bd3ff718f:0x50e84b9b06e166e5
serpapi,provider,vet,Veterinaria Belgrano,"Echeverría 1553, C1428DQS Cdad. Autónoma de Buenos Aires, Argentina","Belgrano, CABA",-34.557955799999995,-58.447594499999994,+54 9 11 5316-5880,,4.8,17,"{""jueves"": ""9 a.m.–1 p.m., 3–7:30 p.m."", ""viernes"": ""3–7:30 p.m."", ""sábado"": ""10:30 a.m.–2 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""9 a.m.–1 p.m., 3–7:30 p.m."", ""martes"": ""3–7:30 p.m."", ""miércoles"": ""9 a.m.–2 p.m.""}",,,serpapi_gmaps,0x95bcb58355b4984f:0xc8c29403e27d763a
serpapi,provider,vet,Leocan Veterinaria 24 hs Belgrano 2,"C. La Pampa 2755, 1428 Cdad. Autónoma de Buenos Aires, Argentina","Belgrano, CABA",-34.5666096,-58.4576698,+54 47864910,http://www.leocan.com.ar/,4.2,1781,"{""jueves"": ""Abierto las 24 horas"", ""viernes"": ""Abierto las 24 horas"", ""sábado"": ""Abierto las 24 horas"", ""domingo"": ""Abierto las 24 horas"", ""lunes"": ""Abierto las 24 horas"", ""martes"": ""Abierto las 24 horas"", ""miércoles"": ""Abierto las 24 horas""}",,,serpapi_gmaps,0x95bcb54969280373:0xa596d421ffaed1f7
serpapi,provider,vet,ANIMED,"Vidal 2301, C1428CSK Cdad. Autónoma de Buenos Aires, Argentina","Belgrano, CABA",-34.5621511,-58.461929299999994,+54 11 4784-0181,,3.8,1866,"{""jueves"": ""Abierto las 24 horas"", ""viernes"": ""Abierto las 24 horas"", ""sábado"": ""Abierto las 24 horas"", ""domingo"": ""Abierto las 24 horas"", ""lunes"": ""Abierto las 24 horas"", ""martes"": ""Abierto las 24 horas"", ""miércoles"": ""Abierto las 24 horas""}",,,serpapi_gmaps,0x95bcb5d56bfdd123:0xe4b5e12f46c11b97
serpapi,provider,vet,Veterinaria Wonder Pet,"Av. Cabildo 2811, C1428 Cdad. Autónoma de Buenos Aires, Argentina","Belgrano, CABA",-34.5561243,-58.4616195,+54 11 7542-9626,https://instagram.com/veterinariawonderpet?utm_medium=copy_link,4.7,180,"{""jueves"": ""9 a.m.–8 p.m."", ""viernes"": ""9 a.m.–8 p.m."", ""sábado"": ""9 a.m.–8 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""9 a.m.–8 p.m."", ""martes"": ""9 a.m.–8 p.m."", ""miércoles"": ""9 a.m.–8 p.m.""}",,,serpapi_gmaps,0x95bcb58956f37751:0x261b37ff3f970d5b
serpapi,provider,vet,Animal Care,"Amenábar 2049, C1428CQE Cdad. Autónoma de Buenos Aires, Argentina","Belgrano, CABA",-34.563566099999996,-58.4580226,+54 11 4770-8182,,4.8,390,"{""jueves"": ""9 a.m.–7 p.m."", ""viernes"": ""9 a.m.–7 p.m."", ""sábado"": ""9 a.m.–1 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""9 a.m.–7 p.m."", ""martes"": ""9 a.m.–7 p.m."", ""miércoles"": ""9 a.m.–7 p.m.""}",,,serpapi_gmaps,0x95bcb42c90f73061:0x9b0ec27e451a49a0
serpapi,provider,vet,Veterinaria del Libertador,"Blanco Encalada 1420, C1428 Cdad. Autónoma de Buenos Aires, Argentina","Belgrano, CABA",-34.5535105,-58.449336699999996,+54 47880888,https://www.veterinarias.com.ar/del-libertador-veterinaria,3.9,506,"{""jueves"": ""Abierto las 24 horas"", ""viernes"": ""Abierto las 24 horas"", ""sábado"": ""Abierto las 24 horas"", ""domingo"": ""Abierto las 24 horas"", ""lunes"": ""Abierto las 24 horas"", ""martes"": ""Abierto las 24 horas"", ""miércoles"": ""Abierto las 24 horas""}",,,serpapi_gmaps,0x95bcb43249cdcb11:0x9001f66126fa5787
serpapi,provider,vet,Sanatorio Veterinario Mascotas,"Mcal. Antonio José de Sucre 2528, C1428 Cdad. Autónoma de Buenos Aires, Argentina","Belgrano, CABA",-34.564774199999995,-58.4563487,+54 11 4785-0420,,4.4,154,"{""jueves"": ""9 a.m.–8:30 p.m."", ""viernes"": ""9 a.m.–8:30 p.m."", ""sábado"": ""9 a.m.–3 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""9 a.m.–8:30 p.m."", ""martes"": ""9 a.m.–8:30 p.m."", ""miércoles"": ""9 a.m.–8:30 p.m.""}",,,serpapi_gmaps,0x95bcb5d15b5cd7d9:0xd005c291fb4002d5
serpapi,provider,vet,Veterinaria y Medicamentos para Mascotas - FAUNATIKOS,"Av. Crámer 2109, C1428 Cdad. Autónoma de Buenos Aires, Argentina","Belgrano, CABA",-34.5645302,-58.461305599999996,+54 810-220-8383,https://goo.su/1BN9snf,4.4,590,"{""jueves"": ""9 a.m.–8 p.m."", ""viernes"": ""9 a.m.–8 p.m."", ""sábado"": ""9 a.m.–5 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""9 a.m.–8 p.m."", ""martes"": ""9 a.m.–8 p.m."", ""miércoles"": ""9 a.m.–8 p.m.""}",,,serpapi_gmaps,0x95bcb5d5c3c922e3:0xeafc9aff94e6993c
serpapi,provider,vet,TotalPet,"Av. Juramento 2468, C1428DNP Cdad. Autónoma de Buenos Aires, Argentina","Belgrano, CABA",-34.562513599999996,-58.457327,+54 11 3771-6102,http://www.totalpet.com.ar/,4.3,304,"{""jueves"": ""9 a.m.–8:30 p.m."", ""viernes"": ""9 a.m.–8:30 p.m."", ""sábado"": ""9 a.m.–8 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""9 a.m.–8:30 p.m."", ""martes"": ""9 a.m.–8:30 p.m."", ""miércoles"": ""9 a.m.–8:30 p.m.""}",,,serpapi_gmaps,0x95bcb5c5b720dc7f:0x89392a9156a1ecea
serpapi,provider,vet,Profesional Farmacia Veterinaria,"Blanco Encalada 2464, C1428DDN Cdad. Autónoma de Buenos Aires, Argentina","Belgrano, CABA",-34.5596489,-58.4596787,+54 11 4781-2981,,4.7,750,"{""jueves"": ""9:30 a.m.–8 p.m."", ""viernes"": ""9:30 a.m.–8 p.m."", ""sábado"": ""9:30 a.m.–2 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""9:30 a.m.–8 p.m."", ""martes"": ""9:30 a.m.–8 p.m."", ""miércoles"": ""9:30 a.m.–8 p.m.""}",,,serpapi_gmaps,0x95bcb42b2f26ec17:0x8d4c7cf42d1689bd
serpapi,provider,vet,Veterinaria El Perro Verde,"Echeverría 3069, C1428 Cdad. Autónoma de Buenos Aires, Argentina","Belgrano, CABA",-34.5666262,-58.4622672,+54 11 4896-0700,,4.6,166,"{""jueves"": ""10 a.m.–1 p.m., 4–7 p.m."", ""viernes"": ""10 a.m.–1 p.m., 4–7 p.m."", ""sábado"": ""10 a.m.–1 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""10 a.m.–1 p.m., 4–7 p.m."", ""martes"": ""10 a.m.–1 p.m., 4–7 p.m."", ""miércoles"": ""10 a.m.–1 p.m., 4–7 p.m.""}",,,serpapi_gmaps,0x95bcb5d622a37591:0xfc9c70efcde85e52
serpapi,provider,vet,Clínica Veterinaria RyB,"Cdad. de la Paz 2688, C1428CPT Cdad. Autónoma de Buenos Aires, Argentina","Belgrano, CABA",-34.5576772,-58.462016,+54 11 6372-3844,,4.9,293,"{""jueves"": ""10 a.m.–7 p.m."", ""viernes"": ""10 a.m.–7 p.m."", ""sábado"": ""10 a.m.–3 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""10 a.m.–7 p.m."", ""martes"": ""10 a.m.–7 p.m."", ""miércoles"": ""10 a.m.–7 p.m.""}",,,serpapi_gmaps,0x95bcb42a6666ed9d:0x216e2b7790ae41bb
serpapi,provider,vet,Veterinaria Whippet Belgrano. Dra Andrea Pisanu,"Arcos 2510, C1428 Cdad. Autónoma de Buenos Aires, Argentina","Belgrano, CABA",-34.556443699999996,-58.4573572,+54 11 2261-6733,http://vetturno.com/veterinaria-whippet/reservar,4.7,171,"{""jueves"": ""10:30 a.m.–1 p.m., 2–6:30 p.m."", ""viernes"": ""10:30 a.m.–1 p.m., 2–6:30 p.m."", ""sábado"": ""10:30 a.m.–1 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""10:30 a.m.–1 p.m., 2–6:30 p.m."", ""martes"": ""10:30 a.m.–1 p.m., 2–6:30 p.m."", ""miércoles"": ""10:30 a.m.–1 p.m., 2–6:30 p.m.""}",,,serpapi_gmaps,0x95bcb42b78fbe467:0x391add5ca76dbfe1
serpapi,provider,vet,Veterinaria Belvet,"Av. Dr. Ricardo Balbín 2428, C1428 Cdad. Autónoma de Buenos Aires, Argentina","Belgrano, CABA",-34.562714199999995,-58.465533099999995,+54 9 11 2730-4460,,4.8,82,"{""jueves"": ""10 a.m.–8 p.m."", ""viernes"": ""10 a.m.–8 p.m."", ""sábado"": ""10 a.m.–8 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""10 a.m.–8 p.m."", ""martes"": ""10 a.m.–8 p.m."", ""miércoles"": ""10 a.m.–8 p.m.""}",,,serpapi_gmaps,0x95bcb701595260bb:0xabf39702b9f75aa7
serpapi,provider,vet,Dra. Carolina Tautozzi,"Av. Juramento 3088, C1428DOB Cdad. Autónoma de Buenos Aires, Argentina","Belgrano, CABA",-34.5659065,-58.4630526,+54 11 4789-9478,,4.6,60,"{""jueves"": ""10 a.m.–1 p.m., 5–8 p.m."", ""viernes"": ""10 a.m.–1 p.m., 5–8 p.m."", ""sábado"": ""10 a.m.–1 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""10 a.m.–1 p.m., 5–8 p.m."", ""martes"": ""10 a.m.–1 p.m., 5–8 p.m."", ""miércoles"": ""10 a.m.–1 p.m., 5–8 p.m.""}",,True,serpapi_gmaps,0x95bcb5d5ff1bf8c1:0xd9e4063473bcf3e5
serpapi,provider,vet,Manimal Veterinaria,"Padre Juan B. Neumann 1476, C1428 Cdad. Autónoma de Buenos Aires, Argentina","Belgrano, CABA",-34.5503175,-58.4525642,+54 11 2583-1865,,4.9,84,"{""jueves"": ""9 a.m.–8 p.m."", ""viernes"": ""9 a.m.–8 p.m."", ""sábado"": ""9 a.m.–8 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""9 a.m.–8 p.m."", ""martes"": ""9 a.m.–8 p.m."", ""miércoles"": ""9 a.m.–8 p.m.""}",,,serpapi_gmaps,0x95bcb52e9e67958f:0xec7075ea7b6b514d
serpapi,provider,vet,Company PetShop Belgrano,"Virrey del Pino 2566, C1426 Cdad. Autónoma de Buenos Aires, Argentina","Belgrano, CABA",-34.5673992,-58.4543834,+54 47875731,https://wa.link/uxewrj,4.4,306,"{""jueves"": ""10 a.m.–8 p.m."", ""viernes"": ""10 a.m.–8 p.m."", ""sábado"": ""10 a.m.–7 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""10 a.m.–8 p.m."", ""martes"": ""10 a.m.–8 p.m."", ""miércoles"": ""10 a.m.–8 p.m.""}",,,serpapi_gmaps,0x95bcb55bdf3543df:0x7fc74081db7f97b
serpapi,provider,vet,Clinica Veterinaria Manchitas Belgrano,"Mcal. Antonio José de Sucre 2755, C1428DVW Cdad. Autónoma de Buenos Aires, Argentina","Belgrano, CABA",-34.565787,-58.458372399999995,+54 9 11 2675-6412,http://www.vetmanchitas.com.ar/,4.4,212,"{""jueves"": ""10 a.m.–8 p.m."", ""viernes"": ""10 a.m.–8 p.m."", ""sábado"": ""10 a.m.–4 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""10 a.m.–8 p.m."", ""martes"": ""10 a.m.–8 p.m."", ""miércoles"": ""10 a.m.–8 p.m.""}",,,serpapi_gmaps,0x95bcb5d6bee1d887:0xb2efc97a874bdef3
serpapi,provider,vet,Veterinaria Animal Vet,"Monroe 2885, C1428 BLU, Cdad. Autónoma de Buenos Aires, Argentina","Belgrano, CABA",-34.560781899999995,-58.4643507,+54 11 4543-7741,https://www.veterinarias.com.ar/animal-vet-clinica-veterinaria.html,4.4,141,"{""jueves"": ""11 a.m.–7 p.m."", ""viernes"": ""11 a.m.–7 p.m."", ""sábado"": ""11 a.m.–6 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""11 a.m.–7 p.m."", ""martes"": ""11 a.m.–7 p.m."", ""miércoles"": ""11 a.m.–7 p.m.""}",,,serpapi_gmaps,0x95bcb6800d253ad9:0x2e597f72203478ae
serpapi,provider,vet,Clínica Veterinaria Recoleta,"French 2778, C1425AWF Cdad. Autónoma de Buenos Aires, Argentina","Recoleta, CABA",-34.588848899999995,-58.402926099999995,+54 11 5464-1241,,4.7,54,"{""jueves"": ""10:30 a.m.–8:30 p.m."", ""viernes"": ""10:30 a.m.–8:30 p.m."", ""sábado"": ""10 a.m.–3 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""10:30 a.m.–8:30 p.m."", ""martes"": ""10:30 a.m.–8:30 p.m."", ""miércoles"": ""10:30 a.m.–8:30 p.m.""}",,,serpapi_gmaps,0x95bccb47b7ebe9a5:0xd1de07478eb81188
serpapi,provider,vet,Sebastián,"Av. Pueyrredón 1801, C1119 ACB, Cdad. Autónoma de Buenos Aires, Argentina","Recoleta, CABA",-34.5902051,-58.400028899999995,+54 11 4806-4758,http://www.veterinariasebastian.com/,4.6,815,"{""jueves"": ""9 a.m.–8 p.m."", ""viernes"": ""9 a.m.–8 p.m."", ""sábado"": ""9 a.m.–2 p.m."", ""domingo"": ""Cerrado"", ""lunes"": ""9 a.m.–8 p.m."", ""martes"": ""9 a.m.–8 p.m."", ""miércoles"": ""9 a.m.–8 p.m.""}",,,serpapi_gmaps,0x95bcca9bd5961065:0xd505338cf21af29d
